Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,223.100006,228.389999,221.000000,226.210007,226.210007,5525000
2022-08-02,222.759995,228.199997,220.880005,221.419998,221.419998,6361300
2022-08-03,224.789993,228.100006,222.419998,226.729996,226.729996,6400700
2022-08-04,227.679993,232.070007,225.050003,229.910004,229.910004,7142700
2022-08-05,225.300003,228.619995,222.869995,226.779999,226.779999,5539700
2022-08-08,227.490005,241.960007,226.410004,233.490005,233.490005,10982100
2022-08-09,231.619995,232.199997,224.649994,229.940002,229.940002,6181200
2022-08-10,236.990005,244.539993,236.600006,244.110001,244.110001,9254800
2022-08-11,244.679993,251.619995,241.509995,242.699997,242.699997,8780100
2022-08-12,244.809998,249.410004,243.759995,249.300003,249.300003,6098500
2022-08-15,248.110001,251.990005,247.509995,249.110001,249.110001,6527400
2022-08-16,247.160004,249.289993,244.029999,245.690002,245.690002,5136800
2022-08-17,241.179993,244.240005,237.559998,241.149994,241.149994,5627200
2022-08-18,241.960007,246.479996,239.279999,245.169998,245.169998,5280400
2022-08-19,240.949997,243.289993,235.679993,241.160004,241.160004,7504700
2022-08-22,232.550003,233.479996,224.589996,226.539993,226.539993,8630100
2022-08-23,226.460007,229.899994,224.300003,224.550003,224.550003,5276900
2022-08-24,225.660004,234.100006,223.940002,229.610001,229.610001,5426300
2022-08-25,230.240005,234.160004,229.000000,233.979996,233.979996,3766900
2022-08-26,233.630005,236.949997,223.149994,223.279999,223.279999,5349800
2022-08-29,221.929993,229.869995,221.520004,224.570007,224.570007,7109400
2022-08-30,226.660004,229.789993,218.740005,220.649994,220.649994,5740400
2022-08-31,227.000000,233.880005,223.429993,223.559998,223.559998,8615900
2022-09-01,220.720001,230.369995,219.470001,230.039993,230.039993,7292900
2022-09-02,231.029999,233.880005,225.039993,226.110001,226.110001,8164900
2022-09-06,225.589996,226.850006,214.690002,218.389999,218.389999,7469000
2022-09-07,220.210007,229.330002,218.270004,228.960007,228.960007,8149300
2022-09-08,224.160004,228.740005,221.300003,227.440002,227.440002,6737400
2022-09-09,229.619995,234.779999,229.619995,233.570007,233.570007,6699600
2022-09-12,233.610001,239.490005,233.369995,236.529999,236.529999,6047400
2022-09-13,226.500000,227.690002,217.720001,218.130005,218.130005,8000100
2022-09-14,219.820007,228.000000,215.800003,224.119995,224.119995,8230300
2022-09-15,230.470001,242.289993,229.100006,235.380005,235.380005,19454100
2022-09-16,231.220001,241.360001,227.830002,240.130005,240.130005,18914200
2022-09-19,245.050003,245.250000,235.750000,243.630005,243.630005,17912400
2022-09-20,240.369995,250.490005,239.660004,242.850006,242.850006,16037400
2022-09-21,242.669998,248.300003,236.679993,236.869995,236.869995,9166800
2022-09-22,235.350006,240.500000,231.660004,237.050003,237.050003,10018000
2022-09-23,235.139999,236.449997,221.429993,226.410004,226.410004,11207200
